Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
599025353636034,B Lab Switzerland,B LAB (SWITZERLAND),3835,34
349450293419,Schweizerische Energie-Stiftung SES,Schweizerische Energie-Stiftung SES,2735,10
1054282644596776,GE-démocratie,GE-démocratie,2120,9
147717218614170,PLR Genève,PLR.Les Libéraux-Radicaux Genève,1846,3
97220294896,SP Schweiz,SP Schweiz,958,5
114275974912005,GE équilibre fiscal,GE équilibre fiscal,879,7
48980326364,Public Eye,Public Eye,822,25
288659088239530,MCG Officiel,Mouvement Citoyens Genevois,765,32
200480966638039,Supremacy 1914,These ads ran without a disclaimer,685,4
100381452863244,Libertés et Justice sociale,Libertés et Justice sociale,610,34
1524859774444235,Koalition für Konzernverantwortung,Koalition für Konzernverantwortung,560,2
105527252338650,perspektiveschweiz.ch,IG Wirtschaftsverbände,554,5
103550668590403,Mieux vivre sa vie,Mieux Vivre Sa Vie,545,26
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,491,16
291359247729208,PS Suisse,PS Suisse,469,4
18087904183,PLR,PLR,404,2
15733998334,FDP,FDP,397,2
1919422915011017,Republik,Republik AG,360,2
115134174862244,perspectivesuisse.ch,IG Wirtschaftsverbände,342,5
131066326987,SP Kanton Zürich,SP Kanton Zürich,303,9
510352742440847,Coalition pour des multinationales responsables,Coalition pour des multinationales responsables,302,2
102014399307738,Direkt,direkt,279,5
1579272705641700,Gabriela Suter,Gabriela Suter,245,7
51415837765,Greenpeace Switzerland,Greenpeace Switzerland,238,4
169510248558,Die Mitte - Le Centre,Die Mitte,227,6
100341315500438,Kirchensteuern sei Dank - St.Gallen,Katholischer Kofessionsteil des Kantons St.Gallen,214,9
888626258006362,"Barbara Gysi, Nationalrätin SP",Barbara Gysi,212,3
1562216347422974,Esther Friedli,Esther Friedli,183,2
115010674866173,prospettivasvizzera.ch,IG Wirtschaftsverbände,180,5
84150672409,SP Stadt Zürich,SP Stadt Zürich,168,6
2068625050104664,Jeunes Vert•e•x•s Suisse,Junge Grüne Schweiz,161,2
104460881166122,Pro Natura Valais / Wallis,Pro Natura Valais / Wallis,161,2
111081131629685,Blackout stoppen,Volksinitiative «Jederzeit Strom für alle (Blackout stoppen)»,155,37
478040605021,Junge Grüne Schweiz,Junge Grüne Schweiz,153,2
1991942507517845,Römisch-Katholische Kirche im Aargau,Römisch-Katholische Landeskirche des Kantons Aargau,152,6
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,140,5
335404453537186,Die Mitte Binningen-Bottmingen,Die Mitte Binningen-Bottmingen,122,1
921336971288655,Nagra,Nagra,109,3
105885535599394,Coach Cecil,These ads ran without a disclaimer,106,17
618765881570878,EKS,Elektrizitätswerk des Kantons Schaffhausen AG,≤100,2
259871484198551,Thomas Matter,Thomas Matter,≤100,1
1741098286126301,Die Mitte Appenzell Ausserrhoden,Die Mitte Appenzell Ausserrhoden,≤100,17
183441641693664,Philippe Nantermod,Etude Philippe Nantermod Sàrl,≤100,1
110481348648633,Ludivine-Luy-Lovey au Conseil National 2023,Ludivine Luy Lovey,≤100,1
103033805478591,Carole-Anne Kast,Carole-Anne Kast,≤100,1
8142847754,Jungfreisinnige Schweiz,Jungfreisinnige Schweiz,≤100,5
106964611977537,Switlo,Switlo,≤100,2
223727604375090,EVP Frauenfeld,EVP Frauenfeld,≤100,1
125466200895962,Valentin Landmann,Sven Kunz,≤100,1
1483343695307824,Campax,Campax,≤100,1
138011779601470,Grünes Bündnis Stadt Bern,Grünes Bündnis Bern (GB),≤100,1
103447355403439,Andreas Hüssy,Andreas Hüssy,≤100,1
120307884715130,Les Vert•e•s Valais - Grüne Wallis,Les Vert•e•s Valais - Grüne Wallis,≤100,1
1419223321733027,Parti Socialiste Vaudois,PS vaudois,≤100,1
103237956032492,Willy Portmann,Willy Portmann,≤100,2
535897123124799,Jeunes Libéraux-Radicaux Suisse,Jeunes Libéraux-Radicaux Suisses,≤100,4
100116156110843,Stop al blackout,Iniziativa popolare «Energia elettrica in ogni tempo per tutti (Stop al blackout)»,≤100,16
291504744242501,Lega dei Ticinesi - sezione Chiasso,Stefano Tonini,≤100,1
123778861534,Jungfreisinnige Aargau,Jungfreisinnige Aargau,≤100,1
104379448378069,eyerepublic.co,These ads ran without a disclaimer,≤100,1
103119077874616,Bunt_lieben,bunt_lieben,≤100,1
102063439477752,Simon Stocker in den Ständerat,Komitee «Stocker is Stöckli»,≤100,1
121446461263308,SP Kanton Schwyz,SP Kanton Schwyz,≤100,1
238982909481105,Les Vert·e·s Genevois·es,Les Vert-e-s genevois-es,≤100,1
104176871670876,Renteninitiative - Für eine sichere & nachhaltige Altersvorsorge,Verein Renteninitiative,≤100,1
245489546137580,Christoph Riner - bodenständige Politik,Christoph Riner - bodenständige Politik,≤100,7
100109808734387,Schweizer Wirtschaft für das Klimagesetz,Schweizer Wirtschaft für das Klimagesetzt,≤100,1
103269145789541,Stop au blackout,Initiative populaire « De l’électricité pour tous en tout temps (Stop au blackout) »,≤100,12
115967858108648,Susanne Dedecke glp,Susanne Dedecke,≤100,1
36735923253,umverkehR,umverkehR,≤100,4
97721121385,Public Eye,Public Eye,≤100,1
122819208305170,Sauvegarde Genève,Sauvegarde Genève,≤100,1
100119208056282,Christian Dandrès,Christian Joseph Dandrès,≤100,1
265786100439644,Grüne Freie Liste Stadt Bern,Grüne Freie Liste Bern,≤100,2
135939773133793,Grüne Winterthur,Grüne Winterthur,≤100,1
2015601845405680,SP Frauenfeld,SP Frauenfeld,≤100,3
2075832665775532,FDP Hochdorf,FDP.Die Liberalen Hochdorf,≤100,1
309380022477251,Casafair,Casafair,≤100,1
